AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2023,2,05,ANTIOQUIA,05353,HISPANIA,495,5790,"8,55"
2023,1,17,CALDAS,17001,MANIZALES,102906,454494,"22,64"
2023,1,52,NARIÑO,52356,IPIALES,11312,120842,"9,36"
2022,4,27,CHOCÓ,27160,CÉRTEGUI,179,5967,"3,00"
2022,3,15,BOYACÁ,15740,SIACHOQUE,116,7056,"1,64"
2022,2,13,BOLÍVAR,13580,REGIDOR,77,7421,"1,04"
2022,2,05,ANTIOQUIA,05091,BETANIA,822,10718,"7,67"
2022,1,25,CUNDINAMARCA,25524,PANDI,405,5587,"7,25"
2022,2,05,ANTIOQUIA,05172,CHIGORODÓ,9896,61211,"16,17"
2022,3,85,CASANARE,85136,LA SALINA,26,1388,"1,87"
2021,4,13,BOLÍVAR,13140,CALAMAR,564,24034,"2,35"
2021,2,20,CESAR,20011,AGUACHICA,11927,121581,"9,81"
2022,4,15,BOYACÁ,15774,SUSACÓN,8,2798,"0,29"
2023,2,27,CHOCÓ,27050,ATRATO,20,6724,"0,30"
2022,1,54,NORTE DE SANTANDER,54720,SARDINATA,704,28397,"2,48"
2021,1,52,NARIÑO,52490,OLAYA HERRERA,94,25969,"0,36"
2021,1,99,VICHADA,99624,SANTA ROSALÍA,9,4367,"0,21"
2023,1,15,BOYACÁ,15162,CERINZA,233,3912,"5,96"
2022,4,19,CAUCA,19573,PUERTO TEJADA,3925,43624,"9,00"
2022,1,41,HUILA,41615,RIVERA,676,25855,"2,61"
2021,4,13,BOLÍVAR,13549,PINILLOS,47,25814,"0,18"
2021,2,15,BOYACÁ,15047,AQUITANIA,832,15950,"5,22"
2023,2,94,GUAINÍA,94885,LA GUADALUPE,1,322,"0,31"
2021,2,70,SUCRE,70265,GUARANDA,29,18464,"0,16"
2021,2,15,BOYACÁ,15820,TÓPAGA,114,3749,"3,04"
2021,2,13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,2811,74331,"3,78"
2023,1,15,BOYACÁ,15367,JENESANO,275,7666,"3,59"
2021,3,50,META,50573,PUERTO LÓPEZ,2351,32091,"7,33"
2022,1,76,VALLE DEL CAUCA,76736,SEVILLA,5146,43531,"11,82"
2023,2,19,CAUCA,19022,ALMAGUER,11,19450,"0,06"
2022,2,41,HUILA,41551,PITALITO,12692,132521,"9,58"
2022,2,99,VICHADA,99001,PUERTO CARREÑO,1034,21868,"4,73"
2021,1,25,CUNDINAMARCA,25612,RICAURTE,3751,14367,"26,11"
2022,3,05,ANTIOQUIA,05697,EL SANTUARIO,8426,37481,"22,48"
2021,4,15,BOYACÁ,15837,TUTA,584,8641,"6,76"
2023,1,68,SANTANDER,68179,CHIPATÁ,61,5309,"1,15"
2022,4,76,VALLE DEL CAUCA,76318,GUACARÍ,3038,35239,"8,62"
2022,1,18,CAQUETA,18460,MILÁN,410,10186,"4,03"
2022,4,13,BOLÍVAR,13683,SANTA ROSA,345,22566,"1,53"
2022,2,52,NARIÑO,52399,LA UNIÓN,451,33028,"1,37"
2023,3,25,CUNDINAMARCA,25095,BITUIMA,11,2816,"0,39"
2021,4,19,CAUCA,19397,LA VEGA,598,25455,"2,35"
2023,1,66,RISARALDA,66594,QUINCHÍA,513,27890,"1,84"
2023,1,73,TOLIMA,73319,GUAMO,3784,34681,"10,91"
2021,3,19,CAUCA,19743,SILVIA,512,39175,"1,31"
2022,1,17,CALDAS,17486,NEIRA,1675,21412,"7,82"
2022,3,68,SANTANDER,68077,BARBOSA,3171,32613,"9,72"
2021,3,20,CESAR,20570,PUEBLO BELLO,364,29706,"1,23"
2023,3,05,ANTIOQUIA,05425,MACEO,308,8646,"3,56"
2021,4,05,ANTIOQUIA,05887,YARUMAL,3859,43308,"8,91"
2022,2,23,CÓRDOBA,23162,CERETÉ,7582,112124,"6,76"
2022,2,17,CALDAS,17042,ANSERMA,3784,37154,"10,18"
2023,2,05,ANTIOQUIA,05172,CHIGORODÓ,8127,61741,"13,16"
2022,2,25,CUNDINAMARCA,25245,EL COLEGIO,958,27255,"3,51"
2023,2,20,CESAR,20517,PAILITAS,809,21284,"3,80"
2021,2,13,BOLÍVAR,13212,CÓRDOBA,250,17028,"1,47"
2023,3,05,ANTIOQUIA,05266,ENVIGADO,84236,246327,"34,20"
2022,1,25,CUNDINAMARCA,25095,BITUIMA,10,2747,"0,36"
2021,1,27,CHOCÓ,27745,SIPÍ,16,3411,"0,47"
2021,3,05,ANTIOQUIA,05665,SAN PEDRO DE URABA,4152,32322,"12,85"
2022,4,19,CAUCA,19318,GUAPI,293,28878,"1,01"
2022,3,25,CUNDINAMARCA,25324,GUATAQUÍ,14,3214,"0,44"
2023,2,52,NARIÑO,52001,PASTO,87688,410835,"21,34"
2022,3,15,BOYACÁ,15226,CUÍTIVA,66,1878,"3,51"
2023,1,05,ANTIOQUIA,05240,EBÉJICO,2242,12713,"17,64"
2022,4,25,CUNDINAMARCA,25297,GACHETÁ,460,9279,"4,96"
2022,4,05,ANTIOQUIA,05093,BETULIA,2484,16320,"15,22"
2022,3,25,CUNDINAMARCA,25653,SAN CAYETANO,37,5368,"0,69"
